,id,region,price,year,manufacturer,model,condition,fuel,odometer,title_status,paint_color
0,7395871032,Georgetown,22076,2022,Honda,CRV,excellent,gas,103900,clean,white
1,7267373356,North Joshua,28964,2018,BMW,X1,used,gas,151734,clean,custom
2,7326200681,Stevenbury,22183,2019,Toyota,Tundra,excellent,gas,143496,clean,black
3,7379846196,Charlottehaven,20112,2023,Nissan,Maxima,excellent,gas,80296,clean,blue
4,7236465282,Matthewland,39745,2018,Genesis,G70,fair,gas,34242,clean,black
5,7252818630,Briannaport,27036,2021,Cadillac,CT6,fair,gas,20872,clean,red
6,7270952582,New Kimberlytown,37654,2020,Honda,CRV,excellent,gas,6616,clean,silver
7,7231408595,Jamesmouth,36378,2021,Nissan,Maxima,excellent,gas,110193,clean,white
8,7211364781,West Todd,35808,2019,BMW,X1,excellent,gas,155401,clean,red
9,7286158528,Lake Rodney,18938,2019,Audi,A3,excellent,gas,20529,clean,blue
10,7236460262,South Ian,12839,2020,Ford,Ranger,used,gas,35010,clean,silver
11,7260442732,South Kimberly,11466,2021,BMW,X5,good,gas,10954,clean,green
12,7209867560,Stephenmouth,22783,2020,Ford,F150,like new,gas,15251,clean,custom
13,7270134045,Blankenshipport,30747,2022,BMW,330i,fair,gas,124577,clean,silver
14,7233506584,Michaelport,38083,2020,Ford,Ranger,used,gas,80458,clean,green
15,7362325605,Elizabethland,6008,2020,Honda,CRV,excellent,gas,82004,clean,blue
16,7345201902,Sheriborough,26968,2023,Honda,CRV,excellent,gas,88751,clean,green
17,7362079722,Shawnchester,38020,2020,Chevrolet,Sonic,good,gas,43951,clean,black
18,7397841367,Rachelville,18246,2022,Ford,Ranger,used,gas,46005,clean,white
19,7258327492,Brandyview,27455,2021,Ford,F250,excellent,gas,36292,clean,silver
20,7291030986,North Carrie,15561,2023,BMW,330i,excellent,gas,45930,clean,red
21,7316313096,Monicamouth,38431,2018,Ford,F150,excellent,gas,32920,clean,black
22,7244011624,Port Michelle,39633,2020,Genesis,G70,used,gas,115261,clean,custom
23,7224772625,Kevinchester,15810,2021,Ford,Ranger,excellent,gas,137994,clean,blue
24,7213976316,Brownmouth,17852,2019,Chevrolet,Sonic,used,gas,152549,clean,white
25,7302711102,New Geraldton,7279,2021,Ford,F150,excellent,gas,30533,clean,white
26,7386335117,Sanchezfort,26336,2022,Chevrolet,Sonic,excellent,gas,68792,clean,blue
27,7393329480,Maryview,4782,2018,Ford,Ranger,excellent,gas,53490,clean,red
28,7276739313,Sanchezborough,35271,2020,Ford,Ranger,fair,gas,19330,clean,white
29,7297863727,East Lesliehaven,6427,2019,Honda,CRV,good,gas,10945,clean,custom
30,7358577089,Lake Michellebury,12989,2019,Chevrolet,Sonic,excellent,gas,104904,clean,custom
31,7355458336,Holtshire,4273,2023,Audi,A3,excellent,gas,112772,clean,white
32,7218778735,South Paulfurt,10920,2019,Ram,1500,excellent,gas,6639,clean,green
33,7218258647,Watsonstad,34215,2023,BMW,330i,used,gas,138450,clean,green
34,7267569354,Wellsview,31444,2023,BMW,X3,excellent,gas,30468,clean,red
35,7300572153,South Keith,7759,2023,Audi,A3,like new,gas,163808,clean,white
36,7251541323,New Claudia,7844,2023,Chevrolet,Sonic,excellent,gas,135296,clean,green
37,7271819492,South Kenneth,3780,2023,Honda,CRV,excellent,gas,135407,clean,silver
38,7225007970,East Michael,38898,2020,BMW,X5,excellent,gas,110347,clean,red
39,7383969577,Mooreberg,27406,2021,Cadillac,CT6,good,gas,140570,clean,red
40,7235744452,Hollyfort,37152,2020,BMW,X5,like new,gas,82543,clean,blue
41,7254315055,West Marissa,15745,2021,BMW,X1,used,gas,80373,clean,red
42,7205729278,North Scott,3217,2020,BMW,330i,like new,gas,63624,clean,white
43,7267518527,Leonview,16020,2022,BMW,330i,used,gas,66119,clean,blue
44,7327573915,Connieberg,34659,2020,Toyota,Tundra,excellent,gas,37499,clean,custom
45,7323169453,West David,32775,2018,BMW,X4,excellent,gas,24984,clean,blue
46,7205516712,East Jamesborough,21954,2019,BMW,X1,fair,gas,124262,clean,red
47,7278391586,South Joview,5000,2018,BMW,X3,excellent,gas,127193,clean,silver
48,7209707773,New Jesse,3669,2023,Nissan,Maxima,used,gas,18466,clean,black
49,7357263573,Rachelview,29809,2018,BMW,X1,good,gas,140052,clean,white
50,7326357664,Perryhaven,16619,2019,Toyota,Tundra,like new,gas,100083,clean,custom
51,7281823498,North Jenniferland,18170,2023,Ford,F150,excellent,gas,64822,clean,blue
52,7285405809,East Steven,21682,2019,BMW,X3,fair,gas,160225,clean,custom
53,7200095994,Hunterburgh,12510,2022,Genesis,G70,fair,gas,94052,clean,red
54,7345323724,Rossborough,16512,2019,BMW,X4,excellent,gas,74439,clean,white
55,7380564243,North Adamton,11538,2021,Genesis,G70,excellent,gas,43330,clean,custom
56,7367450237,Blakeburgh,31618,2020,BMW,330i,good,gas,98842,clean,red
57,7304043270,Katherineport,5144,2021,Audi,A3,excellent,gas,143123,clean,green
58,7223487890,Cervantesstad,13134,2021,Ford,F150,like new,gas,94055,clean,custom
59,7319794701,Port Hannah,38299,2021,Genesis,G70,excellent,gas,161400,clean,silver
